Seed,index,X_b,Q,t,X,F,errF
400,1,0.4,5,-0.3,3.28716,0.0121199,0.000754398
400,1,0.4,5,-0.3,4.16189,0.0195575,0.00124525
400,1,0.4,5,-0.3,5.2628,0.0362157,0.00373524
400,1,0.4,5,-0.3,5.73767,0.041523,0.0048672
400,1,0.6,5,-0.3,-0.147622,0.018387,0.00139875
400,1,0.6,5,-0.3,1.16741,0.0143775,0.00290405
400,1,0.6,5,-0.3,2.27313,0.00741119,0.00136754
400,1,0.6,5,-0.3,3.28716,0.00510163,1.7608E-05
400,1,0.6,5,-0.3,4.16189,0.00823237,5.14425E-07
400,1,0.6,5,-0.3,5.2628,0.0152443,0.00142839
400,1,0.6,5,-0.3,5.73767,0.0174783,0.00222228
400,1,0.8,5,-0.3,-0.147622,0.00960788,0.000433047
400,1,0.8,5,-0.3,1.16741,0.00751274,0.00214893
400,1,0.8,5,-0.3,2.27313,0.00387261,0.000978295
400,1,0.8,5,-0.3,3.28716,0.00266578,0.000285551
400,1,0.8,5,-0.3,4.16189,0.00430171,0.000432888
400,1,0.8,5,-0.3,5.2628,0.0079657,0.000627739
400,1,0.8,5,-0.3,5.73767,0.00913305,0.0013043
400,1,0.2,2.5,-0.5,-0.147622,0.104836,0.0109082
400,1,0.2,2.5,-0.5,1.16741,0.0819752,0.0103398
400,1,0.2,2.5,-0.5,2.27313,0.042256,0.00520046
400,1,0.2,2.5,-0.5,3.28716,0.0290877,0.00262086
400,1,0.2,2.5,-0.5,4.16189,0.0469381,0.00425711
400,1,0.2,2.5,-0.5,5.2628,0.0869177,0.00931246
400,1,0.2,2.5,-0.5,5.73767,0.0996552,0.0112617
400,1,0.4,2.5,-0.5,-0.147622,0.0230589,0.00191266
400,1,0.4,2.5,-0.5,1.16741,0.0180306,0.00330589
400,1,0.4,2.5,-0.5,2.27313,0.00929426,0.00157468
400,1,0.4,2.5,-0.5,3.28716,0.00639788,0.000124979
400,1,0.4,2.5,-0.5,4.16189,0.0103241,0.000229575
400,1,0.4,2.5,-0.5,5.2628,0.0191177,0.00185446
400,1,0.4,2.5,-0.5,5.73767,0.0219193,0.00271079
400,1,0.6,2.5,-0.5,-0.147622,0.00841814,0.000302176
400,1,0.6,2.5,-0.5,1.16741,0.00658244,0.0020466
400,1,0.6,2.5,-0.5,2.27313,0.00339307,0.000925545
400,1,0.6,2.5,-0.5,3.28716,0.00233568,0.000321863
400,1,0.6,2.5,-0.5,4.16189,0.00376903,0.000491482
400,1,0.6,2.5,-0.5,5.2628,0.00697931,0.000519236
400,1,0.6,2.5,-0.5,5.73767,0.00800211,0.0011799
400,1,0.8,2.5,-0.5,-0.147622,0.00370078,0.000216733
400,1,0.8,2.5,-0.5,1.16741,0.00289377,0.00164084
400,1,0.8,2.5,-0.5,2.27313,0.00149166,0.000716391
400,1,0.8,2.5,-0.5,3.28716,0.00102681,0.000465838
400,1,0.8,2.5,-0.5,4.16189,0.00165694,0.000723812
400,1,0.8,2.5,-0.5,5.2628,0.00306824,8.90186E-05
400,1,0.8,2.5,-0.5,5.73767,0.00351788,0.000686634
400,1,0.2,3,-0.5,-0.147622,0.106263,0.0110651
400,1,0.2,3,-0.5,1.16741,0.0830906,0.0104625
400,1,0.2,3,-0.5,2.27313,0.0428309,0.00526371
400,1,0.2,3,-0.5,3.28716,0.0294835,0.00266439
400,1,0.2,3,-0.5,4.16189,0.0475767,0.00432736
